SRM1312A,LL-BA16HR-MWEZ,312M0001,LL
SRM1312A,MM-AB16HJR-MWEZ,312M0001,MM
SRM1312A,MM-AB16HL-MCXH,312M0001,MM
SRM1312A,MM-AC12HJL-MGNH,312M0001,MM
SRM1312A,MM-AC12HJR-MCXH,312M0001,MM
SRM1312A,MM-AC13HJR-MCXH,312M0001,MM
SRM1312A,MM-AC14HJL-MCXH,312M0001,MM
SRM1312A,MM-AC14HJL-MGNH,312M0001,MM
SRM1312A,MM-AC14HJR-MCXH,312M0001,MM
SRM1312A,MM-AC14HJR-MGNH,312M0001,MM
SRM1312A,MM-AC14HJR-MWEH,312M0001,MM
SRM1312A,MM-AC14HL-MCXH,312M0001,MM
SRM1312A,MM-AC14HL-MGNH,312M0001,MM
SRM1312A,MM-AC14HL-MWEH,312M0001,MM
SRM1312A,MM-AC14HR-MCXH,312M0001,MM
SRM1312A,MM-AC14HR-MGNH,312M0001,MM
SRM1312A,MM-AC14HR-MWEH,312M0001,MM
SRM1312A,MM-AC16H-MWE3,312M0001,MM
SRM1312A,MM-AC16HJL-MCXH,312M0001,MM
SRM1312A,MM-AC16HJL-MGNH,312M0001,MM
SRM1312A,MM-AC16HJL-MWEH,312M0001,MM
SRM1312A,MM-AC16HJR-MGNH,312M0001,MM
SRM1312A,MM-AC16HJR-MWEH,312M0001,MM
SRM1312A,MM-AC16HL-MCXH,312M0001,MM
SRM1312A,MM-AC16HL-MGNH,312M0001,MM
SRM1312A,MM-AC16HL-MUTZ,312M0001,MM
SRM1312A,MM-AC16HL-MWEH,312M0001,MM
SRM1312A,MM-AC16HL-MWEZ,312M0001,MM
SRM1312A,MM-AC16HR-MCXH,312M0001,MM
SRM1312A,MM-AC16HR-MGNH,312M0001,MM
SRM1312A,MM-AC16HR-MUTZ,312M0001,MM
SRM1312A,MM-AC16HR-MWEH,312M0001,MM
SRM1312A,MM-AC16HR-MWEZ,312M0001,MM
SRM1312A,MM-AD16H-MCXP,312M0001,MM
SRM1312A,MM-AD16H-MGNP,312M0001,MM
SRM1312A,MM-AD16H-MWE3,312M0001,MM
SRM1312A,MM-AD16HJL-MWEH,312M0001,MM
SRM1312A,MM-AD16HJL-MWEZ,312M0001,MM
SRM1312A,MM-AD16HJR-MCXH,312M0001,MM
SRM1312A,MM-AD16HJR-MGNH,312M0001,MM
SRM1312A,MM-AD16HJR-MWEZ,312M0001,MM
SRM1312A,MM-AD16HL-MUTZ,312M0001,MM
SRM1312A,MM-AD16HL-MWEZ,312M0001,MM
SRM1312A,MM-AD16HR-MWEZ,312M0001,MM
SRM1312A,MM-AE16HJL-MGNH,312M0001,MM
SRM1312A,MM-AE16HJR-MWEH,312M0001,MM
SRM1312A,MM-AE16HR-MCXH,312M0001,MM
