SRM1312A,076010110    ,   10,DJ-AA07E-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX94  ,201901Aï÷#8-3-29&TLK&9444               Åú
SRM1312A,076010109    ,    6,DJ-AA07E-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-3-28&GLB&9443               Åú
SRM1312A,076010108    ,   10,WA-AB07E-MFV9                      ,2019/03/04,LN0411DLKM00119010A                ,AX94  ,201901Aï÷#8-3-27&TLK&9442               Åú
SRM1312A,076010107    ,    6,WA-AB07E-MFV9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-3-26&GLB&9441               Åú
SRM1312A,076010106    ,    6,DD-AB07E-MFV9                      ,2019/03/04,LN0411DLKM00119010A                ,AX94  ,201901Aï÷#8-3-25&TLK&9440               Åú
SRM1312A,076010105    ,    6,DD-AB07E-MFV9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-3-24&GLB&9439               Åú
SRM1312A,076010104    ,    6,DN-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-3-23&GLB&9438               Åú
SRM1312A,076010103    ,   10,DJ-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX94  ,201901Aï÷#8-3-22&TLK&9437               Åú
SRM1312A,076010102    ,   10,DJ-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-3-21&GLB&9436               Åú
SRM1312A,076010101    ,   10,DH-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX94  ,201901Aï÷#8-3-20&TLK&9435               Åú
SRM1312A,076010100    ,    6,DH-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-3-19&GLB&9434               Åú
SRM1312A,076010099    ,   10,DG-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX94  ,201901Aï÷#8-3-18&TLK&9433               Åú
SRM1312A,076010098    ,    6,DE-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-2-17&GLB&9432               Åú
SRM1312A,076010097    ,    6,DK-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX86  ,201901Aï÷#8-2-16&KLZ&9431               Åú
SRM1312A,076010096    ,    6,DK-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX28  ,201901Aï÷#8-2-15&CLS&9430               Åú
SRM1312A,076010095    ,   20,DK-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX94  ,201901Aï÷#8-2-14&TLK&9429               Åú
SRM1312A,076010094    ,    6,DK-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX36  ,201901Aï÷#8-2-13&GLB&9428               Åú
SRM1312A,076010093    ,    6,DR-AA07H-MFX9                      ,2019/03/04,LN0411DLKM00119010A                ,AX94  ,201901Aï÷#8-2-12&TLK&9427               Åú
